ID,UserID,Name,Username,Password,Description,Category,Email,Created_Date,Updated_Date,Strength
1,1,Google general,Aiden,abcd1234,Password for google account,Email,aiden@gmail.com, 27/03/2019, 27/03/2019, Weak
2,1,Git Hub,Aiden2,abcd1234,Password for got hub,Software,aiden@gmail.com, 02/02/2017, 03/12/2020, Medium
3,1,Spotify,Aiden3,abcd1234,Music player,Entertainment,aiden@gmail.com, 17/10/2015, 17/10/2020, Strong
4,2,Spotify,Aiden3,abcd1234,Music player,Entertainment,aiden@gmail.com, 17/10/2015, 17/10/2020, Strong
5,3,Spotify,Aiden3,abcd1234,Music player,Entertainment,aiden@gmail.com, 17/10/2015, 17/10/2020, Strong
6,1,password,username,jcOAz&=q,testing,Study,abcdefg,13-12-2020,13-12-2020,Strong
7,1,Netflix,Aiden,abcd,Drive to survive,Entertainment,LNorris@mcl.com,16/12/2020,16/12/2020,Strong
8,1,Amazon Prime,memeking,abcd,memesssss,Entertainment,LNorris@mcl.com,16/12/2020,16/12/2020,Strong
9,1,test2,test,abcd,123,Email,Testing,16/12/2020,16/12/2020,Strong
10,12,Google,Laura,4'Hnddg'W5,Google account,Email,laura@lala.com,16/12/2020,16/12/2020,Strong
11,12,Youtube,Lala,puS>lt2B,YT,Entertainment,laura@lala.com,16/12/2020,16/12/2020,Strong
12,12,Test,Lana,test1234,Test,Others,laura@lala.com,16/12/2020,16/12/2020,Strong
13,12,Moodle,Lalanana,abcd1234,Moodle platform,Study,laura@lala.com,16/12/2020,16/12/2020,Strong
